DAUID,POP2021,POPDENS,TOTLOWINC
24660390,424,9464.3,45
24660391,416,10918.6,50
24660392,473,5284.9,40
24660393,653,9275.6,100
24660394,595,4146.3,70
24660395,573,10670.4,80
24660396,471,10216.9,55
24660397,644,12014.9,105
24660398,1154,4066.2,115
24660399,449,3516.1,20
24660400,583,2163.3,25
24660401,508,3199,30
24660402,770,12359.6,140
24660403,351,3108.9,55
24660404,386,4961.4,40
24660405,590,15989.2,105
24660406,410,10512.8,50
24660407,466,14036.1,65
24660408,577,20388.7,100
24660409,578,25919.3,175
24660410,484,6479.3,120
24660411,494,22352.9,140
24660412,783,1737.3,135
24660413,696,6932.3,165
24660414,590,14355.2,120
24660415,642,7237.9,115
24660416,394,7606.2,65
24660417,440,8906.9,45
24660418,292,8225.4,65
24660419,452,4196.8,25
24660420,450,15901.1,105
24660421,592,16043.4,115
24660422,561,16308.1,95
24660423,423,21917.1,70
24660424,475,16323,105
24660425,489,16245.8,95
24660426,484,16518.8,75
24660427,445,15892.9,85
24660428,701,25583.9,150
24660429,549,21361.9,105
24660430,471,17908.7,65
24660431,466,14078.5,60
24660432,570,9515.9,90
24660433,614,16031.3,100
24660434,626,16175.7,125
24660435,623,17162.5,80
24660436,468,10709.4,145
24660437,323,20705.1,35
24660438,406,25375,100
24660439,346,20233.9,35
24660440,288,14545.5,40
24660441,278,17484.3,35
24660442,552,15726.5,60
24660443,494,15153.4,55
24660444,510,14488.6,75
24660445,645,16412.2,85
24660446,310,17222.2,25
24660447,393,17312.8,35
24660448,416,21554.4,40
24660449,347,19277.8,30
24660450,514,14478.9,50
24660451,595,13553.5,55
24660452,476,14209,55
24660453,645,8520.5,65
24660454,494,13760.4,50
24660455,419,12109.8,70
24660456,747,14561.4,145
24660457,532,14111.4,130
24660458,610,3843.7,85
24660459,707,17201.9,155
24660460,663,17310.7,75
24660461,593,14937,65
24660462,546,15041.3,40
24660463,704,19775.3,85
24660464,552,13765.6,50
24660465,520,13506.5,35
24660466,472,14131.7,50
24660467,435,12322.9,20
24660468,651,16439.4,70
24660469,475,11585.4,70
24660470,618,16793.5,65
24660471,548,14535.8,65
24660472,621,17642,65
24660473,661,18109.6,155
24660474,621,15486.3,70
24660475,496,12849.7,50
24660476,511,14985.3,55
24660478,732,4477.1,80
24660479,682,1387.6,95
24660480,509,6268.5,80
24660481,427,12305.5,85
24660482,586,18142.4,85
24660483,461,5099.6,70
24660484,697,10976.4,135
24660485,470,5383.7,60
24660486,920,1773.3,95
24660487,578,16011.1,115
24660488,710,13051.5,115
24660489,548,8353.7,105
24660490,557,8439.4,95
24660491,592,1093.7,160
24660492,672,13494,105
24660493,504,13193.7,80
24660494,642,12490.3,45
24660495,366,8970.6,25
24660496,1064,11552.7,100
24660497,565,14713.5,105
24660498,709,10775.1,85
24660499,516,9165.2,75
24660500,1134,4500,155
24660501,635,7095,55
24660502,880,12753.6,195
24660503,517,7536.4,30
24660504,548,5792.8,35
24660505,509,10159.7,205
24660506,1006,13064.9,120
24660507,457,10433.8,90
24660508,509,6550.8,150
24660509,488,8531.5,50
24660510,542,1557.9,170
24660511,407,4235.2,85
24660512,1112,13694.6,370
24660513,868,10755.9,135
24660514,448,8924.3,50
24660515,675,28970,120
24660516,1247,22714,375
24660517,1023,9029.1,135
